TimeStamp,SubTest,Step,Target.X,Target.Y,LeftPupil.X,LeftPupil.Y,RightPupil.X,RightPupil.Y,slno,TimeMillis,velocity_left,velocity_right,distance_left,distance_right,net_distance_left,net_distance_right,fixation_left,fixation_right
0,0,-1,0,5e-324,-15.3962907791138,-2.3491368293762203,-9.63109588623047,-27.2801914215088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
40,0,-1,0,5e-324,-15.851315498352099,-4.20003223419189,-9.65874195098877,-31.025447845459,1,0.04,11.375617980957475,0.6911516189574751,0.455024719238299,0.027646064758299005,-0.455024719238299,-0.027646064758299005,1,1
80,0,-1,0,5e-324,-14.5435705184937,2.9419603347778303,-8.37557888031006,-25.8132381439209,2,0.08,32.69362449645996,32.07907676696773,1.3077449798583984,1.2831630706787092,1.3077449798583984,1.2831630706787092,0,0
120,0,-1,0,5e-324,-13.0384464263916,9.03330230712891,-6.41090297698975,-21.7383728027344,3,0.12,37.62810230255252,49.11689758300778,1.5051240921021005,1.9646759033203107,1.5051240921021005,1.9646759033203107,0,0
160,0,-1,0,5e-324,-11.3766565322876,11.306739807128901,-4.478882789611821,-20.7163486480713,4,0.16,41.5447473526,48.300504684448214,1.6617898941040004,1.9320201873779288,1.6617898941040004,1.9320201873779288,0,0
200,0,-1,0,5e-324,-9.56813907623291,9.72701930999756,-3.31833243370056,-22.3732795715332,5,0.2,45.21293640136722,29.01375889778151,1.8085174560546893,1.1605503559112607,1.8085174560546893,1.1605503559112607,0,0
240,0,-1,0,5e-324,-8.48352909088135,7.381722927093508,-2.74488282203674,-23.5795783996582,6,0.24,27.11524963378903,14.33624029159551,1.0846099853515607,0.5734496116638201,1.0846099853515607,0.5734496116638201,0,1
280,0,-1,0,5e-324,-7.93157529830933,8.71748161315918,-3.0312922000884996,-20.9151496887207,7,0.28,13.79884481430048,7.1602344512939835,0.5519537925720197,0.2864093780517596,0.5519537925720197,-0.2864093780517596,1,1
320,0,-1,0,5e-324,-8.23848819732666,12.668084144592301,-4.725409030914308,-15.1717748641968,8,0.32,7.672822475433264,42.35292077064524,0.30691289901733043,1.6941168308258088,-0.30691289901733043,-1.6941168308258088,1,0
360,0,-1,0,5e-324,-9.81325435638428,17.8690128326416,-7.52206754684448,-8.23995971679688,9,0.36,39.369153976440494,69.91646289825432,1.574766159057619,2.7966585159301713,-1.574766159057619,-2.7966585159301713,0,0
